Algoritmo usado.
Algoritmo evolutivo (Selecao por torneio; Crossover double-point; Mutacao por insercao).,bcspwr03.txt
Runs,Numero de Iteracoes,Vizinho Normal,Mutacao por Troca,Populacao,Numero de Geracoes,Probabilidade de Recombinacao,Probabilidade de Mutacao
30,0,não,não,50,2500,0.30,0.05
Media,Melhor Resultado Encontrado
84.83,77
